Detailed Parameter,Simple Parameter,Specific Metric,Reference,Experiment Type,Environment,General Taxon/Grouping 1,General Taxon/Grouping 2,General Taxon/Grouping 3,Heterotroph or Autotroph,Species,Life Stage,Resource General,Resource Species,Resource life stage,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.61,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.93,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Molluscs,Sea snail,heterotroph,Urosalpinx cinerea,adult,Oyster,Crassostrea virginica,juvenile,30,8.3,21.7,5,No,Yes,1.18,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,maximum ingestion rate,"Durbin & Durbin (1992). Effects of temperature and food abundance on grazing and short-term weight change in the marine copepod Acartia hudsonica. Limnology and Oceanography: 37(2): 361-378
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Marine,Invertebrates,Crustaceans,Copepod,heterotroph,Acartia hudsonica,adult,Diatom,Thalassiosira constricta,,16,4.5,11.5,4,Yes,Yes,0.52,0.2,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,The measurements at 4.5° are actually means of measurements at 4° and 5°,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Neoseiulus californicus,,Mite,Tetranychus urticae,eggs,30,20,10,3,Yes,Yes,0.41,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"The consumer species is listed as Amblyseius californicus, which is synonomous with Neoseiulus californicus. I've changed it to simplify species counting",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,,Mite,Tetranychus urticae,eggs,30,20,10,3,Yes,Yes,0.65,0,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"The standard error is reported as 0, which seems unlikely?",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus japonicus,,Mite,Tetranychus urticae,eggs,30,20,10,3,Yes,Yes,0.94,0.17,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Calathus fuscipes,adult,Beetle,Alphitobius diaperinus,juvenile,NA,NA,15,4,Somewhat,Yes,0.27,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. (2014) says there are 4 temp treatments and a 15° range of temps. The range measured was 5-30, with 6 levels, so either the lowest or highest 2 temperatures (or one at each end) have been removed",It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Calathus fuscipes,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,Yes,Yes,0.2,0.12,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Beetle,Alphitobius diaperinus,juvenile,30,5,25,6,Yes,Yes,0.33,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,Yes,Yes,0.38,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Pterostichus melanarius,adult,Beetle,Alphitobius diaperinus,juvenile,30,5,25,6,Yes,Yes,0.3,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Pterostichus melanarius,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,Yes,Yes,0.14,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum attack rate?,"Gilioli et al. (2005). Temperature influences on functional response of Coenosia attenuata (Diptera : Muscidae) individuals. Journal of Economic Entomology: 98(5): 1524-1530
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Fly,heterotroph,Coenosia attenuata,adult,Fruit fly,Drosophila melanogaster,adult,36,18,18,4,Yes,Yes,0.82,0.3,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,This paper reports the number of prey attacked (killed) in 12 hour trials. I believe this is probably what Fussmann et al. are using for feeding rate,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Sentis et al. (2012). Using functional response modeling to investigate the effect of temperature on predator feeding rate and energetic efficiency. Oecologia: 169(4): 1117-1125
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coleomegilla maculata,juvenile,Aphid,Myzus persicae,,32.8,13.9,18.9,6,Yes,Yes,0.68,0.1,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,prey killed per unit time,"Işikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Cycloneda sanguinea,adult,Aphid,Aphis gossypii,unsure,30,20,10,3,Yes,Yes,0.91,0.33,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,prey killed per unit time,"Işikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Scymnus levaillanti,adult,Aphid,Aphis gossypii,unsure,30,20,10,3,Yes,Yes,1.84,0.25,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Ahn et al. (2010). Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves. Journal of Applied Entomology: 134(2): 98-104
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Neoseiulus californicus,adult,Mite,Tetranychus urticae,egg,NA,NA,15,4,Somewhat,Yes,0.38,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,It is unclear what the exact maximum and minimum temperatures are,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,22,10,12,4,Yes,Yes,0.63,0.17,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,22,10,12,4,Yes,Yes,0.53,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,adult,Cladocera,Daphnia carinata,unsure,22,10,12,4,Yes,Yes,1.21,0.4,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Stink bug,heterotroph,Podisus maculiventris,adult,Lepidoptera,Spodoptera exigua,juvenile,27,18,9,9,Yes,Yes,0.24,0.01,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Stink bug,heterotroph,Podisus nigrispinus,adult,Lepidoptera,Spodoptera exigua,juvenile,27,18,9,9,Yes,Yes,0.75,0.44,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Li et al. (2007). Functional response of the predator Scolothrips takahashii to hawthorn spider mite, Tetranychus viennensis: effect of age and temperature. BioControl: 52(1): 41-61
Activation energy calculated in: Fussman et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,adult,Mite,Tetranychus viennensis,eggs,35,20,15,4,Yes,Yes,0.52,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I believe that one of these is for male predators and one is for females, but it is not specified which is which",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Li et al. (2007). Functional response of the predator Scolothrips takahashii to hawthorn spider mite, Tetranychus viennensis: effect of age and temperature. BioControl: 52(1): 41-61
Activation energy calculated in: Fussman et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,adult,Mite,Tetranychus viennensis,eggs,35,20,15,4,Yes,Yes,0.46,0.09,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I believe that one of these is for male predators and one is for females, but it is not specified which is which",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,Fussmann et al. (2014). Ecological stability in response to warming. Nature Climate Change: 4(3): 206-210,Lab,,,,Cilliate,heterotroph,Tetrahymena pyriformis,,Bacteria,Pseudomonas fluorescens,,30,15,15,4,Yes,Yes,0.19,,,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,I think this activation energy should be considered for exclusion from the dataset. The data it is calculated from are problematic due to insufficient prey density at the second to highest temperature. (See Supplementary Figure 6),,their data
w: conversion efficiency (individual growth),conversion efficiency,,"Person Le-Ruyet et al. (2004). Effects of temperature on growth and metabolism in a Mediterranean population of European sea bass, Dicentrarchus labrax. Aquaculture: 237(1): 269-280
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,Vertebrates,Fish,Fish,heterotroph,Dicentrarchus labrax,,dry food pellet,,,28.8,13.4,15.4,6,No,Yes,0.39,,,Arrhenius,single species,"From Table S3 in Dell et al. (2011)
E=0.39",,,,"their data, part of Dell et al. (2011) dataset"
w: conversion efficiency (population growth),conversion efficiency,,"Rose et al. (2009). Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. ISME Journal: 3(2): 252-260
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,Proteobacteria,Halomonas marina,,20,0,20,5,No,Yes,0.23,,,Arrhenius,single species,"From Table S3 in Dell et al. (2011)
E=0.23",,,,"their data, part of Dell et al. (2011) dataset"
w: conversion efficiency (population growth),conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282",Lab,Marine,,,Tintinnids (zooplankton),heterotroph,Tintinnopsis acuminata,,Phytoplankton,Isochrysis galbana,,25,15,10,3,Yes,Yes,-0.44,,,Arrhenius,single species,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)",,"Growth increased more slowly with temp than respiration and excretion did, which is the explanation given in the paper for why growth efficiency decreased with temp",Assimilation efficiency was independent of temperature,their data
w: conversion efficiency (population growth),conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1283",Lab,Marine,,,Tintinnids (zooplankton),heterotroph,Tintinnopsis vasculum,,Phytoplankton,Dicrateria inornata,,15,5,10,3,Yes,Yes,-0.15,,,Arrhenius,single species,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)",,"Growth increased more slowly with temp than respiration and excretion did, which is the explanation given in the paper for why growth efficiency decreased with temp",Assimilation efficiency was independent of temperature,their data
w: conversion efficiency (population biovolume),conversion efficiency,biovolume of consumer produced compared to biovolume of resource consumed,"Caron et al. (1986). Effect of temperature on growth, respiration, and nutrient regeneration by an omnivorous microflagellate. Applied and Environmental Microbiology: 52(6): 1340-1347",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,Diatom,Phaeodactylum tricornutum,,26,14,12,4,Yes,No,-0.02,0.04,SE,Arrhenius,single species,"I calculated this myself. Data from Table 5
(I have the code I used to calculate it)",,"They also measured gross growth efficiency based on carbon, which was also not significantly temperature dependent",,their data
