Detailed.Parameter,Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Confident.in.Temps,Evidence.of.temperature.dependence,Activation.energy,Error,Error.Metric,Model.Used,Single.species.or.multiple,Where.to.find.in.paper,Evidence.that.temp.dependence.differs.between.species,Notes,More.notes,Their.Data.or.Dataset.
m: consumer mortality rate,mortality rate,1/generation time???,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Tetraneura nigriabdominalis,adult,Plant,Oryza sativa,,30,10,20,5,Somewhat,Yes,0.56,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"This is listed in table S3 as mortality rate, but seems to correspond to data for generation time in the BioTraits database",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,1/longevity,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Tetraneura nigriabdominalis,adult,Plant,Oryza sativa,,35,10,25,6,Somewhat,Yes,0.24,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Petchey et al. (2010). Predicting the effects of temperature on food web connectance. Philosophical Transactions of the Royal Society B- Biological Sciences: 365(1549): 2081-2091",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,Yes,Yes,0.509,NA,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1e
E=0.509",,"Plots of # prey eaten/prey density are available in the original paper (Fig. 6), showing the response across a range of temperatures.","Fig.1 in Petchey et al. shows log (base 10) transformed attack rate vs. temp in Celsius, but it is noted that the activation energy is calculated from a typically linearized Arrhenius function","their data, part of Petchey et al. (2010) dataset"
c:consumption rate,consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,No,Yes,0.59,NA,,Arrhenius,single species,From Table S3,,"Dell et al. (2011) calculated E at 9 different prey densities, only two were reported as singificant fits","I am less confident in these activation energies than those from Petchey et al. as Dell et al. state that the thermal optimum is at 16°, which doesn't seem to be the case, and it makes me wonder if they had a problem with their data","their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,No,Yes,0.97,NA,,Arrhenius,single species,From Table S3,,"Dell et al. (2011) calculated E at 9 different prey densities, only two were reported as singificant fits","I am less confident in these activation energies than those from Petchey et al. as Dell et al. state that the thermal optimum is at 16°, which doesn't seem to be the case, and it makes me wonder if they had a problem with their data","their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,Yes,Yes,0.71,0.22,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Presumably this is calculated for a prey density at which feeding rate is maximum,,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,adult,Mite,Aponychus corpuzae,adult,35,15,20,5,Yes,"Maybe, maybe not: Zhang et al. found a linear trend, but Petchey et al. determined that the activation energy was not significant",0.152,NA,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1f
E=0.152 (but see notes)",,The activation energy was not found to be significantly different from 0,Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,adult,Mite,Aponychus corpuzae,adult,35,15,20,5,Yes,Yes,0.23,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"This is the same original data as above, but the activation energy is from a different paper.",Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,35,10,25,6,Yes,Yes,0.432,NA,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1g
E=0.432",,,,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,35,10,25,6,Yes,Yes,0.44,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"This is the same original data as above, but the activation energy is from a different paper.",,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.572,NA,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1h
E=0.572",,"Petchey et al. state that they have corrected the data for variation in predator and prey size, but this process is not described or made clear.",,"their data, part of Petchey et al. (2010) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.39,0.16,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,"Xia et al. did calculate the number of prey eaten over the course of each trial, but did not report those data in the paper. Perhaps Fussmann et al. obtained the data from them?","their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.37,0.13,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.23,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.25,0.13,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.21,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.15,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.1,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.19,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,10,3,Somewhat,Yes,0.31,0.09,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,15,4,Somewhat,Yes,-0.09,0.03,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,-0.04,0.05,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,10,3,Somewhat,Yes,0.13,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,-0.04,0.03,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,15,4,Somewhat,Yes,-0.07,0.01,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.05,0.02,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Brown et al. (2004). Toward a metabolic theory of ecology. Ecology: 85(7): 1771-1789",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,Yes,Yes,0.56,NA,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.56",,Spitze (1985) Fig. 8 shows attack rate vs temperature,,"their data, used in Brown et al. (2004)"
c:consumption rate,consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,Yes,Yes,0.57,0.32,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I don't know how they would have gotten any kind of maximum rate from this paper, given that only means are given for different temps",maybe they are trying to calculate feeding rate from attack rate and handling time?,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,Yes,Yes,0.2,0.56,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I don't know how they would have gotten any kind of maximum rate from this paper, given that only means are given for different temps",maybe they are trying to calculate feeding rate from attack rate and handling time?,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Eggleston (1990). Behavioural mechanisms underlying variable functional responses of blue crabs, Callinectes sapidus feeding on juvenile oysters, Crassostrea virginica. Journal of Animal Ecology: 59(2): 615-630
Activation energy calculated by: Brown et al. (2004). See full reference above",Lab,,Invertebrates,Crustaceans,Crab,heterotroph,Callinectes sapidus,,Oyster,Crassostrea virginica,,27,13,14,3,Yes,Yes,0.8,NA,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.80",,,,"their data, used in Brown et al. (2004)"
c: consumption rate (feeding rate coefficient),consumption rate,,"Luecke & O'Brien. (1983). The effect of Heterocope predation on zooplankton communities in arctic ponds. Limnology and Oceanography: 28(2)
Activation energy calculated by: Brown et al. (2004). See full reference above",Lab,Freshwater,Invertebrates,Crustaceans,Copepod,heterotroph,Heterocope septentrionalis,,Zooplankton,Zooplankton,,15,5,10,3,Yes,Yes,0.81,NA,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.81",,"Brown et al. (2004) calculate E for ""feeding rate"" but Luecke & O'Brien describe a ""feeding rate coefficient."" The formula for calculating feeding rate coefficient is provided on page 368.",Luecke & O'Brien (1983) Fig.1 shows feeding rate coefficient vs temperature for 5 different prey species.,"their data, used in Brown et al. (2004)"
c:consumption rate,consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Simulium sp.,juvenile,28,14,14,8,No,Yes,0.33,NA,,Arrhenius,single species,From Table S3,"The resource species is recorded in Dell et al. as Hydropsyche spp., but the original source lists it as Simulium sp., so I have changed it to reflect the original source",,,dataset
c:consumption rate,consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche sp.,juvenile,28,16,12,7,No,Yes,0.42,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche sp.,juvenile,20,6,14,7,No,Yes,0.62,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,"Heiman & Knight. (1975). The influence of temperature on the bioenergetics of the carnivorous stonefly nymph, Acroneuria californica Banks (Plecoptera: Perlidae). Ecology: 56(1): 105-116
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Black Fly,Simulium sp.,juvenile,24,10,14,8,No,Yes,0.15,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Agonum dorsale,adult,Aphid,Sitobion avenae,juvenile,23.6,12.3,11.3,4,Somewhat,Yes,1.15,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Bembidion lampros,adult,Aphid,Rhopalosiphum padi,adult,25,10,15,4,Somewhat,Yes,0.72,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Carcinops pumilio,adult,House fly,Musca domestica,juvenile,33,15,18,4,Somewhat,Yes,0.8,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Crustaceans,Crab,heterotroph,Carcinus maenas,adult,Mussel,Mytilus edulis,adult,17.7,3.8,13.9,4,No,Yes,0.77,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,25,10,15,4,Somewhat,Yes,0.85,NA,,Arrhenius,single species,From Table S3,,"This is calculated from consumption rates at one of the five prey density treatments, not max rates as below",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,25,10,15,4,Yes,Yes,0.29,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,This is calculated from maximum consumption rates,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Fedorenko (1975).  Feeding characteristics and predation impact of Chaoborus (Diptera, Chaoboridae) larvae in a small lake. Limnology and Oceanography: 20(2): 250-258
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Copepod,Diaptomus kenai,adult,20,5,15,4,Somewhat,Yes,0.68,NA,,Arrhenius,single species,From Table S3,,"prey were at saturating density, so the feeding rates are assumed to approximate maximum feeding rate",,dataset
c:consumption rate,consumption rate,maximum feeding rate,"Fedorenko (1975).  Feeding characteristics and predation impact of Chaoborus (Diptera, Chaoboridae) larvae in a small lake. Limnology and Oceanography: 20(2): 250-258
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus trivittatus,juvenile,Copepod,Diaptomus tyrelli,adult,20,5,15,4,Somewhat,Yes,0.69,NA,,Arrhenius,single species,From Table S3,,"prey were at saturating density, so the feeding rates are assumed to approximate maximum feeding rate",,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,Somewhat,Yes,0.16,NA,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,Somewhat,Yes,0.4,NA,,Arrhenius,single species,From Table S3,,,,dataset
